start,end
2014-02-07T12:09:36.04Z, 2014-02-07T12:15:12.72Z
2014-06-28T16:48:37.36Z, 2014-06-28T16:48:59.31Z
2014-06-28T18:12:33.25Z, 2014-06-28T18:12:42.641
2015-05-18T15:56:06.21Z, 2015-05-18T15:56:16.751
2015-05-18T17:31:06.12Z, 2015-05-18T17:31:16.751
2015-08-09T06:57:07.52Z, 2015-08-09T07:18:13.48Z
2015-08-09T08:32:42.68Z, 2015-08-09T08:53:48.62Z
2015-07-04T17:17:08.68Z, 2015-07-04T17:32:14.34Z
2015-07-04T18:52:07.84Z, 2015-07-04T19:11:48.06Z
2015-07-25T18:35:56.40Z, 2015-07-25T18:56:23.43Z
2015-07-16T18:29:28.31Z, 2015-07-16T18:48:49.56Z
2015-07-16T20:06:03.79Z, 2015-07-16T20:25:25.24Z
2015-07-16T21:45:46.68Z, 2015-07-16T21:48:09.646
2014-07-29T18:55:30.56Z, 2014-07-29T19:14:03.44Z
2015-03-12T05:52:08.90Z, 2015-03-12T06:07:00.06Z
2015-03-12T07:27:43.84Z, 2015-03-12T07:45:59.71Z
2015-03-12T09:04:21.96Z, 2015-03-12T09:21:34.41Z
2015-03-12T10:43:21.11Z, 2015-03-12T10:56:37.93Z
2015-03-12T12:26:27.12Z, 2015-03-12T12:28:32.93Z
2015-03-12T15:03:16.64Z, 2015-03-12T15:10:47.68Z
2015-03-12T16:38:20.37Z, 2015-03-12T16:50:44.49Z
2015-08-21T03:22:27.21Z, 2015-08-21T03:34:00.80Z
2017-07-09T08:23:24.02Z, 2017-07-09T08:40:47.44Z
2017-07-09T10:02:37.97Z, 2017-07-09T10:15:56.21Z
2017-07-09T11:42:53.34Z, 2017-07-09T11:49:01.65Z
2017-07-09T14:23:30.34Z, 2017-07-09T14:28:37.20Z
2015-05-07T16:46:39.90Z, 2015-05-07T16:51:35.14Z
2015-05-07T18:14:23.65Z, 2015-05-07T18:31:36.55Z
2015-05-07T19:50:19.05Z, 2015-05-07T20:08:53.99Z
2014-02-05T15:39:21.420, 2014-02-05T15:46:24.60Z
2014-01-05T14:42:41.09Z, 2014-01-05T14:46:45.06Z
2014-09-04T11:24:57.02Z, 2014-09-04T11:25:34.98Z
2014-09-04T15:33:46.48Z, 2014-09-04T15:41:58.46Z
2015-08-28T02:48:09.86Z, 2015-08-28T02:49:04.32Z
2015-08-28T02:52:06.02Z, 2015-08-28T02:54:49.54Z
2014-02-11T05:36:00.09Z, 2014-02-11T05:40:16.017
2014-12-14T17:15:34.920, 2014-12-14T17:27:23.65Z
2014-09-25T22:09:15.570, 2014-09-25T22:17:43.43Z
2014-10-07T07:54:38.64Z, 2014-10-07T08:06:28.00Z
2014-10-07T09:25:47.21Z, 2014-10-07T09:41:57.77Z
2014-06-28T21:42:48.240, 2014-06-28T21:43:07.37Z
2015-02-18T21:12:34.81Z, 2015-02-18T21:31:35.81Z
2014-05-11T08:08:21.03Z, 2014-05-11T08:26:13.91Z
2014-05-11T09:46:19.88Z, 2014-05-11T10:01:53.15Z
2014-12-14T15:38:52.19Z, 2014-12-14T15:47:24.46Z
2014-06-26T22:32:37.35Z, 2014-06-26T22:33:05.65Z
2014-06-27T00:03:55.33Z, 2014-06-27T00:05:16.18Z
2014-09-02T08:48:13.62Z, 2014-09-02T09:05:38.77Z
2014-09-02T10:27:18.06Z, 2014-09-02T10:41:18.31Z
2015-10-11T03:01:12.49Z, 2015-10-11T03:06:50.67Z
2015-10-11T04:36:41.12Z, 2015-10-11T04:47:19.04Z
2014-05-16T08:28:09.16Z, 2014-05-16T08:46:02.63Z
2014-05-16T10:06:45.69Z, 2014-05-16T10:21:32.31Z
2015-07-03T16:59:17.55Z, 2015-07-03T17:09:10.65Z
2015-07-03T18:30:15.54Z, 2015-07-03T18:49:17.56Z
2015-04-08T06:19:29.84Z, 2015-04-08T06:35:37.27Z
2015-04-08T07:55:00.84Z, 2015-04-08T08:13:09.21Z
2015-04-08T09:32:43.31Z, 2015-04-08T09:33:19.928
2015-07-24T05:52:51.77Z, 2015-07-24T06:09:33.99Z
2015-07-24T07:28:28.06Z, 2015-07-24T07:48:13.88Z
2015-07-24T09:05:08.84Z, 2015-07-24T09:23:50.20Z
2015-07-24T10:44:07.15Z, 2015-07-24T10:58:40.65Z
2015-09-16T18:57:00.19Z, 2015-09-16T19:15:39.24Z
2015-09-16T20:35:01.40Z, 2015-09-16T20:38:43.263
2015-07-04T11:23:47.40Z, 2015-07-04T11:34:34.56Z
2015-01-30T11:27:15.360, 2015-01-30T11:35:18.71Z
2015-08-07T23:33:46.50Z, 2015-08-07T23:41:03.81Z
2015-07-28T16:31:19.81Z, 2015-07-28T16:45:22.37Z
2015-07-28T18:06:16.46Z, 2015-07-28T18:25:21.05Z
2015-07-28T19:41:49.24Z, 2015-07-28T20:02:53.34Z
2015-07-28T21:21:29.53Z, 2015-07-28T21:39:02.74Z
2014-07-31T21:21:01.27Z, 2014-07-31T21:36:35.52Z
2014-07-29T20:33:03.65Z, 2014-07-29T20:50:24.30Z
2015-07-25T20:12:52.43Z, 2015-07-25T20:32:37.71Z
2015-07-25T21:52:36.30Z, 2015-07-25T22:07:04.996
2014-10-03T08:08:38.67Z, 2014-10-03T08:10:35.40Z
2014-10-03T09:30:11.34Z, 2014-10-03T09:46:09.90Z
2015-07-25T17:00:46.66Z, 2015-07-25T17:16:09.31Z
2015-03-11T16:16:11.54Z, 2015-03-11T16:27:29.76Z
2015-03-11T17:51:12.82Z, 2015-03-11T18:07:28.43Z
2015-03-11T19:26:10.79Z, 2015-03-11T19:45:43.65Z
2015-03-11T21:05:33.79Z, 2015-03-11T21:22:04.66Z
2014-08-01T18:28:20.59Z, 2014-08-01T18:45:50.65Z
2014-08-01T20:04:51.77Z, 2014-08-01T20:22:53.18Z
2014-09-28T12:33:10.50Z, 2014-09-28T12:34:14.74Z
2014-09-28T15:09:32.18Z, 2014-09-28T15:16:34.41Z
2014-09-28T16:44:32.71Z, 2014-09-28T16:56:37.94Z
2014-09-28T18:19:42.46Z, 2014-09-28T18:36:41.43Z
2014-09-28T19:55:28.93Z, 2014-09-28T20:13:59.69Z
2014-10-21T19:06:09.23Z, 2014-10-21T19:25:02.15Z
2014-10-21T20:44:23.34Z, 2014-10-21T21:01:21.28Z
2014-10-21T22:24:15.87Z, 2014-10-21T22:37:23.96Z
2014-07-10T21:16:21.34Z, 2014-07-10T21:32:05.87Z
2014-07-10T22:56:30.09Z, 2014-07-10T23:07:08.34Z
2014-09-06T12:04:11.59Z, 2014-09-06T12:09:42.70Z
2014-09-06T14:44:23.90Z, 2014-09-06T14:50:04.49Z
2014-09-06T16:19:28.84Z, 2014-09-06T16:30:02.71Z
2014-09-06T17:54:33.77Z, 2014-09-06T18:10:00.96Z
2014-10-28T11:05:39.43Z, 2014-10-28T11:17:14.03Z
2014-11-07T10:04:17.52Z, 2014-11-07T10:19:26.15Z
2015-08-21T17:19:10.37Z, 2015-08-21T17:38:04.15Z
2015-08-21T18:54:11.37Z, 2015-08-21T19:17:17.93Z
2015-08-21T20:32:02.93Z, 2015-08-21T20:53:34.71Z
2015-08-21T22:11:48.05Z, 2015-08-21T22:29:48.37Z
2015-03-13T06:14:37.69Z, 2015-03-13T06:30:29.35Z
2015-03-13T07:50:17.36Z, 2015-03-13T08:08:18.70Z
2015-03-13T09:27:47.24Z, 2015-03-13T09:43:48.18Z
2015-03-13T11:06:40.74Z, 2015-03-13T11:18:04.40Z
2015-03-13T15:25:36.58Z, 2015-03-13T15:28:32.023
2014-10-22T08:43:57.78Z, 2014-10-22T09:01:26.09Z
2014-10-22T10:23:03.62Z, 2014-10-22T10:36:59.09Z
2014-10-22T12:04:04.34Z, 2014-10-22T12:09:31.84Z
2014-10-22T14:43:46.49Z, 2014-10-22T14:49:30.37Z
2014-10-22T16:18:46.59Z, 2014-10-22T16:29:25.46Z
2014-10-22T17:53:46.90Z, 2014-10-22T18:08:31.246
2015-03-13T18:35:43.59Z, 2015-03-13T18:54:12.65Z
2015-03-13T20:12:27.40Z, 2015-03-13T20:30:37.99Z
2015-03-13T21:52:16.34Z, 2015-03-13T22:06:54.62Z
2015-03-13T23:35:10.40Z, 2015-03-13T23:39:56.65Z
2015-03-14T03:25:54.93Z, 2015-03-14T03:28:50.344
2017-06-02T17:03:14.43Z, 2017-06-02T17:16:48.40Z
2017-06-02T18:38:15.55Z, 2017-06-02T18:56:30.92Z
2017-06-02T20:15:37.77Z, 2017-06-02T20:32:45.31Z
2017-06-02T21:55:21.21Z, 2017-06-02T22:00:23.238
2014-09-10T11:59:43.98Z, 2014-09-10T12:05:59.59Z
2014-09-10T14:40:28.18Z, 2014-09-10T14:45:56.81Z
2014-09-10T16:15:28.24Z, 2014-09-10T16:25:57.46Z
2014-09-10T17:50:28.40Z, 2014-09-10T17:58:08.380
2014-08-01T10:59:14.74Z, 2014-08-01T11:11:11.32Z
2015-03-11T22:47:58.790, 2015-03-11T22:57:09.09Z
2014-09-08T03:06:51.16Z, 2014-09-08T03:12:36.96Z
2014-09-08T04:42:44.30Z, 2014-09-08T04:53:13.05Z
2014-08-31T11:18:44.13Z, 2014-08-31T11:29:24.00Z
2014-08-31T15:37:40.37Z, 2014-08-31T15:46:08.49Z
2014-08-31T17:12:52.26Z, 2014-08-31T17:26:12.18Z
2014-06-11T18:19:27.27Z, 2014-06-11T18:19:56.92Z
2014-06-11T19:39:05.89Z, 2014-06-11T19:58:01.49Z
2014-06-11T21:18:47.09Z, 2014-06-11T21:34:21.36Z
2014-06-11T22:59:00.51Z, 2014-06-11T23:09:17.95Z
2014-06-12T02:58:01.45Z, 2014-06-12T02:59:05.89Z
2014-10-25T08:16:30.57Z, 2014-10-25T08:34:20.09Z
2014-02-12T23:17:45.19Z, 2014-02-12T23:26:01.81Z
2014-02-13T03:11:35.75Z, 2014-02-13T03:17:05.00Z
2015-10-17T11:42:09.99Z, 2015-10-17T11:49:56.78Z
2015-10-17T14:25:59.49Z, 2015-10-17T14:29:05.22Z
2014-03-29T15:06:17.78Z, 2014-03-29T15:13:00.13Z
2014-03-29T16:41:28.63Z, 2014-03-29T16:53:01.35Z
2014-10-25T09:54:57.43Z, 2014-10-25T10:09:58.93Z
2014-10-25T11:33:52.27Z, 2014-10-25T11:43:25.09Z
2014-10-19T15:10:59.93Z, 2014-10-19T15:18:12.62Z
2014-10-19T16:46:01.43Z, 2014-10-19T16:58:13.37Z
2015-12-26T05:16:08.09Z, 2015-12-26T05:28:54.13Z
2014-10-27T21:27:26.90Z, 2014-10-27T21:42:50.43Z
2014-10-27T23:08:26.87Z, 2014-10-27T23:17:05.37Z
2014-10-28T03:02:51.18Z, 2014-10-28T03:07:59.03Z
2014-10-26T16:14:37.97Z, 2014-10-26T16:25:05.59Z
2014-10-26T17:49:40.62Z, 2014-10-26T18:05:14.06Z
2015-06-24T15:13:19.62Z, 2015-06-24T15:21:24.79Z
2017-09-09T06:42:36.02Z, 2017-09-09T07:00:00.12Z
2017-09-09T08:18:13.83Z, 2017-09-09T08:35:56.74Z
2017-09-09T09:56:59.71Z, 2017-09-09T10:11:25.15Z
2015-09-20T11:21:08.31Z, 2015-09-20T11:31:08.21Z
2015-09-20T15:39:17.24Z, 2015-09-20T15:48:09.24Z
2015-09-20T17:14:15.40Z, 2015-09-20T17:28:17.09Z
2014-10-17T16:00:42.83Z, 2014-10-17T16:10:28.20Z
2014-10-17T17:35:47.59Z, 2014-10-17T17:50:32.24Z
2015-03-11T05:29:46.18Z, 2015-03-11T05:43:33.24Z
2015-03-11T07:05:19.37Z, 2015-03-11T07:23:38.87Z
2015-03-11T08:41:11.12Z, 2015-03-11T08:59:11.94Z
2015-03-11T10:20:10.93Z, 2015-03-11T10:34:45.05Z
2015-03-11T12:01:12.99Z, 2015-03-11T12:07:00.62Z
2015-03-12T18:13:19.93Z, 2015-03-12T18:30:53.62Z
2015-03-12T19:49:00.15Z, 2015-03-12T20:08:13.43Z
2015-03-12T21:28:46.99Z, 2015-03-12T21:44:30.59Z
2015-03-12T23:10:02.40Z, 2015-03-12T23:18:36.40Z
2014-10-26T00:04:22.51Z, 2014-10-26T00:05:17.62Z
2014-10-26T03:52:38.62Z, 2014-10-26T04:00:45.18Z
2014-10-26T05:28:06.76Z, 2014-10-26T05:41:16.23Z
2014-10-26T07:03:44.09Z, 2014-10-26T07:21:38.09Z
2014-10-26T08:39:30.56Z, 2014-10-26T08:57:15.40Z
2014-10-26T10:18:29.82Z, 2014-10-26T10:32:43.53Z